
Loading the model ...
  input file   : ../models/prism-translated/refuel-20-80.pomdp
  loading time : 0.14s 

SARSOP initializing ...
  initialization time : 36.57s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
 542.84  122     3957     0.00022624 0.000340745 0.000114505 2056     438      
 548.11  123     4000     0.00022624 0.000340745 0.000114505 2099     439      
 556.19  125     4055     0.00022624 0.000340745 0.000114505 2056     443      
 561.56  126     4100     0.00022624 0.000340745 0.000114505 2101     444      
 567.47  128     4150     0.00022624 0.000340745 0.000114505 2151     448      
 574.84  130     4213     0.00022624 0.000339126 0.000112885 2214     451      
 579.4   131     4251     0.00022624 0.000339126 0.000112885 2252     453      
 594.71  132     4300     0.00022624 0.000339126 0.000112885 2164     456      
 601.53  134     4357     0.00022624 0.000339126 0.000112885 2221     462      
 606.77  135     4400     0.00022624 0.000339126 0.000112885 2264     465      
 613.42  137     4453     0.00022624 0.000336765 0.000110525 2317     467      
 619.03  138     4500     0.00022624 0.000336765 0.000110525 2364     470      
 627.07  140     4557     0.00022624 0.000336765 0.000110525 2265     475      
 633.46  142     4613     0.00022624 0.000333223 0.000106982 2321     478      
 638.01  143     4650     0.00022624 0.000333223 0.000106982 2358     480      
 645.41  145     4711     0.00022624 0.000333223 0.000106982 2419     485      
 650.99  146     4750     0.00022624 0.000333223 0.000106982 2289     489      
 657.7   148     4807     0.00022624 0.000331722 0.000105482 2346     493      
 662.72  150     4850     0.00022624 0.000331722 0.000105482 2389     496      
 678.6   151     4900     0.00022624 0.000331722 0.000105482 2337     505      
 685.3   153     4959     0.00022624 0.000331169 0.000104929 2396     516      
 691.19  155     5007     0.00022624 0.000331118 0.000104878 2444     531      
 696.74  157     5053     0.00022624 0.000331112 0.000104871 2490     533      
 703.42  160     5107     0.00022624 0.000331102 0.000104861 2544     537      
 710.75  162     5150     0.00022624 0.000331096 0.000104856 2532     537      
 718.04  165     5209     0.00022624 0.000331093 0.000104853 2591     539      
 722.86  166     5250     0.00022624 0.000331093 0.000104853 2632     540      
 729.88  168     5307     0.00022624 0.000331088 0.000104847 2689     545      
 734.97  169     5350     0.00022624 0.000330704 0.000104464 2732     547      
 743.48  171     5405     0.00022624 0.000330704 0.000104464 2609     553      
 748.89  172     5450     0.00022624 0.000330314 0.000104074 2654     556      
 754.79  174     5500     0.00022624 0.000330314 0.000104074 2704     558      
 762.38  176     5563     0.00022624 0.000330314 0.000104074 2767     561      
 783.87  177     5600     0.00022624 0.000330314 0.000104074 2628     565      
 791.38  179     5661     0.00022624 0.000327842 0.000101601 2689     569      
 796.22  180     5700     0.00022624 0.000327842 0.000101601 2728     572      
 804.45  182     5767     0.00022624 0.000327842 0.000101601 2795     577      
 808.92  183     5803     0.00022624 0.000327842 0.000101601 2831     578      
 814.89  184     5850     0.00022624 0.000327842 0.000101601 2878     581      
 820.41  185     5871     0.00022624 0.000325773 9.95324e-05 2683     583      
-------------------------------------------------------------------------------

SARSOP finishing ...
  target precision reached
  target precision  : 0.000100
  precision reached : 0.000100 

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 822.46  185     5871     0.00022624 0.000325773 9.95324e-05 2683     583      
-------------------------------------------------------------------------------

Writing out policy ...
  output file : ../../synthesis/experiments-beliefs/sarsop/output/refuel-20-80.out

